observation_count,temp_bb_mean
1,922.0
1,912.0
1,937.0
1,916.0
1,861.0
1,2422.0
1,2441.0
1,2374.0
1,898.0
1,2439.0
1,858.0
1,1530.0
1,1129.0
1,883.0
1,862.0
1,914.0
1,915.0
1,883.0
1,943.0
1,897.0
1,907.0
1,863.0
1,898.0
1,836.0
1,840.0
1,969.0
1,928.0
1,863.0
1,846.0
1,845.0
1,878.0
1,798.0
1,1398.0
1,999.0
1,1272.0
1,816.0
1,737.0
1,745.0
1,699.0
1,702.0
1,849.0
1,885.0
1,701.0
1,763.0
1,730.0
1,727.0
1,738.0
1,714.0
1,852.0
1,879.0
1,895.0
1,868.0
1,737.0
1,825.0
1,719.0
1,799.0
1,758.0
1,718.0
1,911.0
1,914.0
1,772.0
1,739.0
1,769.0
1,735.0
1,895.0
1,775.0
1,788.0
1,913.0
1,811.0
1,728.0
1,694.0
1,773.0
1,719.0
1,745.0
1,1066.0
1,802.0
1,685.0
1,757.0
1,785.0
1,787.0
1,769.0
1,736.0
1,924.0
1,789.0
1,710.0
1,776.0
1,809.0
1,798.0
1,815.0
1,719.0
1,738.0
1,724.0
1,756.0
1,829.0
1,775.0
1,695.0
1,739.0
1,705.0
1,805.0
1,869.0
1,895.0
1,779.0
1,816.0
1,761.0
1,966.0
1,787.0
1,813.0
1,886.0
1,796.0
1,723.0
1,856.0
1,640.0
216,872.5787037037037
1,856.0
1,1011.0
1,1055.0
137,1113.4817518248176
1,833.0
1,1203.0
1,838.0
1,810.0
1,917.0
1,749.0
1,810.0
1,779.0
1,787.0
1,818.0
1,747.0
1,771.0
1,776.0
1,689.0
1,697.0
1,774.0
1,806.0
1,766.0
1,817.0
1,828.0
1,790.0
1,771.0
1,732.0
1,739.0
1,779.0
1,802.0
1,806.0
1,712.0
1,713.0
1,788.0
1,864.0
1,739.0
1,710.0
1,746.0
1,814.0
1,920.0
1,909.0
1,914.0
1,907.0
1,915.0
1,904.0
1,953.0
1,855.0
1,1147.0
1,1070.0
1,1091.0
1,1028.0
1,1031.0
1,968.0
1,893.0
1,1245.0
1,1012.0
1,1029.0
1,904.0
1,1046.0
1,933.0
1,937.0
1,1027.0
1,1281.0
1,1127.0
1,948.0
2,1068.5
1,856.0
1,1239.0
1,833.0
1,1054.0
1,946.0
1,1020.0
1,831.0
1,915.0
1,1026.0
1,1009.0
1,847.0
1,973.0
1,997.0
1,1026.0
1,1010.0
1,969.0
1,899.0
1,1043.0
1,862.0
1,1077.0
1,902.0
1,911.0
1,1120.0
1,1042.0
1,872.0
1,1056.0
1,937.0
1,1137.0
1,1008.0
1,1103.0
1,1074.0
1,1086.0
1,1126.0
1,1100.0
1,1123.0
1,1023.0
1,1098.0
1,940.0
1,1023.0
1,1106.0
1,1004.0
1,1175.0
1,858.0
1,1151.0
1,921.0
1,985.0
1,935.0
1,999.0
1,946.0
1,881.0
1,966.0
1,860.0
1,1035.0
1,1149.0
1,882.0
1,941.0
1,1072.0
1,925.0
1,838.0
1,921.0
1,881.0
1,1077.0
1,916.0
1,1004.0
1,1163.0
1,886.0
1,1000.0
1,964.0
1,1021.0
1,897.0
1,1107.0
1,902.0
1,1022.0
1,1215.0
1,899.0
1,822.0
1,1110.0
1,874.0
1,825.0
1,874.0
1,947.0
1,1106.0
1,745.0
1,979.0
1,722.0
1,826.0
1,894.0
1,950.0
1,882.0
1,1002.0
1,883.0
1,978.0
1,895.0
1,851.0
1,923.0
2,1126.0
2,968.5
1,958.0
1,928.0
1,903.0
1,1228.0
1,1011.0
1,925.0
1,780.0
2,1015.0
1,936.0
1,933.0
1,1039.0
1,1034.0
2,1001.5
2,837.5
1,1031.0
1,855.0
1,863.0
1,1240.0
1,866.0
1,1206.0
1,835.0
1,856.0
1,1190.0
1,833.0
1,1019.0
1,1010.0
1,868.0
1,836.0
1,900.0
1,852.0
1,964.0
1,921.0
1,1012.0
2,980.0
1,1125.0
1,936.0
2,876.0
1,955.0
1,817.0
1,916.0
2,882.0
4,927.75
1,824.0
2,1024.5
1,824.0
1,896.0
1,946.0
1,947.0
2,822.5
1,1038.0
1,890.0
1,892.0
1,949.0
1,899.0
1,1012.0
1,792.0
1,821.0
1,839.0
1,870.0
1,855.0
1,834.0
1,824.0
1,894.0
2,935.0
1,941.0
1,1015.0
1,1369.0
1,941.0
1,878.0
1,1507.0
1,826.0
1,879.0
2,921.5
1,979.0
1,893.0
1,945.0
1,887.0
1,941.0
1,871.0
1,992.0
1,1005.0
2,842.0
1,985.0
1,992.0
1,955.0
1,821.0
1,821.0
1,890.0
2,903.0
1,975.0
1,882.0
2,916.5
1,1043.0
1,917.0
1,923.0
1,817.0
1,1018.0
1,836.0
1,823.0
1,866.0
2,975.5
1,811.0
1,953.0
1,836.0
1,978.0
1,907.0
1,1165.0
1,833.0
1,882.0
1,702.0
2,850.5
1,900.0
1,935.0
1,1023.0
1,1023.0
1,1166.0
1,761.0
2,1030.0
2,1019.0
1,994.0
1,1028.0
5,1075.4
1,1028.0
1,947.0
1,1017.0
1,1079.0
1,1121.0
1,983.0
1,1140.0
1,850.0
1,800.0
1,862.0
1,760.0
1,832.0
1,1059.0
1,891.0
1,883.0
1,1057.0
2,892.5
1,828.0
1,969.0
1,816.0
1,960.0
1,1055.0
1,866.0
1,820.0
1,952.0
2,900.0
1,980.0
1,829.0
1,937.0
1,1069.0
1,898.0
1,941.0
1,898.0
1,876.0
1,839.0
1,952.0
1,800.0
1,953.0
1,869.0
1,850.0
1,837.0
1,974.0
1,905.0
1,1045.0
1,961.0
1,822.0
2,991.0
2,912.5
1,966.0
1,849.0
2,832.5
2,805.5
1,934.0
1,995.0
1,807.0
2,936.5
1,944.0
1,1048.0
1,1064.0
3,1015.0
1,951.0
1,660.0
1,883.0
1,816.0
1,845.0
1,863.0
1,1443.0
1,821.0
1,887.0
2,934.0
1,1073.0
1,1083.0
1,934.0
3,1108.0
1,795.0
1,819.0
1,919.0
1,1144.0
1,927.0
1,1394.0
1,819.0
1,1240.0
1,1080.0
1,950.0
1,879.0
1,1022.0
1,798.0
1,912.0
1,868.0
1,840.0
2,958.5
2,824.5
1,903.0
1,953.0
1,872.0
1,771.0
3,917.6666666666666
1,813.0
1,928.0
3,891.3333333333334
1,991.0
1,822.0
2,931.0
1,1081.0
1,944.0
2,851.5
1,924.0
1,927.0
1,1002.0
1,848.0
2,896.0
1,840.0
1,912.0
1,1054.0
1,957.0
1,858.0
2,960.5
1,895.0
1,993.0
1,798.0
1,889.0
1,924.0
1,843.0
1,870.0
1,879.0
2,850.5
1,897.0
1,847.0
1,973.0
1,967.0
1,865.0
1,963.0
1,1033.0
1,1017.0
1,925.0
1,915.0
1,826.0
1,857.0
1,934.0
1,1006.0
1,962.0
1,1036.0
1,864.0
1,1045.0
1,834.0
1,844.0
2,846.0
1,862.0
2,810.5
1,925.0
1,816.0
1,900.0
1,832.0
1,838.0
1,864.0
1,891.0
1,857.0
1,1216.0
1,988.0
2,905.0
1,896.0
1,858.0
1,966.0
1,1015.0
1,1160.0
1,990.0
1,1068.0
1,820.0
1,777.0
1,1023.0
1,976.0
1,1256.0
1,1189.0
1,886.0
1,1209.0
1,915.0
1,1024.0
1,991.0
1,892.0
2,1038.5
1,880.0
1,944.0
1,864.0
1,877.0
1,844.0
1,941.0
1,1027.0
3,833.0
2,814.0
1,822.0
1,849.0
5,886.8
3,1015.3333333333334
1,1043.0
1,864.0
1,888.0
1,1000.0
1,1020.0
1,1015.0
1,1004.0
2,844.0
1,999.0
1,1012.0
1,992.0
1,870.0
1,850.0
1,1131.0
1,1139.0
1,851.0
1,884.0
1,876.0
1,991.0
1,958.0
1,1110.0
1,1042.0
1,1068.0
1,900.0
1,902.0
1,839.0
1,851.0
1,987.0
1,906.0
1,853.0
1,833.0
1,937.0
1,902.0
1,895.0
1,1071.0
1,847.0
1,1032.0
1,1084.0
2,1086.0
1,1056.0
1,1043.0
1,846.0
1,1210.0
1,878.0
1,1007.0
1,923.0
1,1018.0
1,1107.0
1,890.0
1,1159.0
1,890.0
1,1114.0
1,1064.0
1,1094.0
1,992.0
1,889.0
1,992.0
1,1110.0
1,728.0
1,1087.0
1,1056.0
1,762.0
1,917.0
1,1080.0
1,977.0
1,1008.0
1,1036.0
1,1007.0
1,874.0
1,1136.0
1,1152.0
1,912.0
1,943.0
1,882.0
1,838.0
1,1077.0
1,824.0
1,1137.0
1,1022.0
1,1011.0
1,1015.0
1,820.0
1,873.0
1,1278.0
2,1324.0
1,798.0
1,1022.0
1,1082.0
1,1179.0
1,907.0
1,1110.0
1,975.0
1,1046.0
1,1076.0
1,809.0
1,849.0
1,809.0
1,1046.0
1,930.0
1,804.0
1,1970.0
1,2072.0
1,2034.0
1,883.0
2,857.5
1,1148.0
1,937.0
1,874.0
1,889.0
1,856.0
1,839.0
1,831.0
1,803.0
1,927.0
1,821.0
1,847.0
1,792.0
1,1014.0
1,1035.0
1,1027.0
1,780.0
1,810.0
1,770.0
1,771.0
1,893.0
1,871.0
1,902.0
1,848.0
1,888.0
1,873.0
1,886.0
1,845.0
1,844.0
1,716.0
1,669.0
1,862.0
1,867.0
1,1144.0
1,1107.0
1,1173.0
1,876.0
1,897.0
1,815.0
1,655.0
1,829.0
1,875.0
1,896.0
1,873.0
1,857.0
1,974.0
1,868.0
1,809.0
1,786.0
1,802.0
1,736.0
1,2217.0
20,1880.55
1,2098.0
1,2279.0
1,1929.0
1,1791.0
15,1773.6666666666667
2,1989.5
1,2033.0
1,1854.0
2,2120.0
1,2315.0
31,1921.1290322580646
1,2198.0
1,1834.0
1,2111.0
4,1912.25
1,1901.0
8,852.625
14,1549.357142857143
2,1937.5
1,1972.0
1,1380.0
1,2026.0
1,2285.0
2,2078.0
1,2213.0
1,2300.0
1,974.0
1,1392.0
2,1225.0
1,1135.0
1,1013.0
1,963.0
1,1036.0
1,983.0
1,900.0
1,1010.0
1,974.0
1,986.0
1,972.0
1,922.0
1,986.0
1,945.0
1,936.0
1,1427.0
1,954.0
1,839.0
1,879.0
1,944.0
1,960.0
1,988.0
2,1006.5
2,1007.0
1,854.0
1,1113.0
1,1015.0
1,989.0
1,1016.0
1,985.0
1,973.0
1,1011.0
1,1060.0
1,898.0
1,1034.0
2,971.0
1,1025.0
1,954.0
1,976.0
6,913.0
1,904.0
1,1059.0
4,1031.25
1,886.0
1,973.0
1,933.0
3,987.3333333333334
1,967.0
2,1002.5
3,1020.3333333333334
1,894.0
1,942.0
1,1188.0
2,1014.5
1,1046.0
1,863.0
1,865.0
1,939.0
3,977.0
1,1032.0
1,975.0
1,990.0
1,911.0
1,968.0
2,941.5
1,990.0
2,978.5
1,885.0
1,898.0
1,924.0
1,1259.0
1,1110.0
1,1200.0
1,990.0
2,908.0
3,992.0
1,911.0
1,970.0
1,865.0
1,868.0
1,927.0
1,1057.0
1,895.0
1,964.0
2,877.0
1,943.0
3,841.6666666666666
1,907.0
1,947.0
2,968.5
1,777.0
1,901.0
1,1390.0
1,1216.0
2,947.0
2,946.0
1,856.0
1,1111.0
1,949.0
1,1072.0
1,889.0
1,1014.0
1,1003.0
1,967.0
1,907.0
2,1059.0
2,1001.0
1,941.0
2,871.5
2,960.0
1,908.0
1,711.0
1,1056.0
2,987.5
2,1217.5
1,851.0
1,1224.0
1,873.0
1,1089.0
1,993.0
1,848.0
1,883.0
1,838.0
2,906.5
3,956.6666666666666
2,1023.0
1,847.0
2,958.5
2,988.0
1,1089.0
1,862.0
1,1022.0
2,890.0
1,905.0
1,956.0
1,1030.0
1,983.0
1,862.0
1,979.0
1,1120.0
1,1012.0
2,933.5
1,877.0
1,924.0
1,994.0
1,1017.0
1,1028.0
2,1135.0
1,1010.0
2,969.0
3,996.6666666666666
1,1081.0
1,974.0
2,990.0
1,989.0
1,1018.0
1,903.0
1,1057.0
1,1094.0
1,884.0
1,1125.0
1,1033.0
2,990.5
1,1022.0
1,1082.0
1,864.0
1,1185.0
1,1060.0
2,880.5
1,923.0
1,924.0
1,1009.0
1,1028.0
1,871.0
2,948.5
1,1014.0
1,925.0
1,1079.0
1,961.0
1,929.0
1,1031.0
3,963.0
1,1069.0
1,934.0
1,959.0
1,858.0
1,1223.0
1,1044.0
2,939.5
3,989.6666666666666
1,912.0
2,987.0
1,1044.0
1,888.0
1,969.0
3,1057.0
1,871.0
1,920.0
3,955.0
2,853.5
2,1052.5
1,843.0
1,950.0
1,1114.0
2,989.0
1,1067.0
1,1050.0
1,917.0
1,1000.0
2,946.5
1,981.0
2,922.0
1,902.0
1,1126.0
3,987.6666666666666
1,927.0
1,1116.0
1,874.0
1,1201.0
1,973.0
1,857.0
1,974.0
3,942.3333333333334
1,895.0
1,907.0
1,874.0
1,968.0
1,869.0
1,1014.0
1,993.0
2,924.0
1,1023.0
1,901.0
1,893.0
1,1072.0
1,1056.0
1,1020.0
1,1071.0
1,870.0
2,1051.5
1,998.0
2,920.0
1,1025.0
1,879.0
1,903.0
1,878.0
1,1014.0
1,1018.0
1,1079.0
1,995.0
2,1049.5
1,1130.0
1,1102.0
1,1027.0
1,978.0
1,1018.0
1,1094.0
1,990.0
1,1041.0
1,993.0
1,1009.0
1,905.0
1,1028.0
1,1023.0
1,978.0
1,852.0
1,951.0
1,942.0
1,961.0
1,925.0
2,929.5
3,896.6666666666666
2,919.0
1,1062.0
1,1006.0
1,920.0
1,959.0
1,894.0
1,1077.0
1,986.0
1,1017.0
1,832.0
1,968.0
1,860.0
1,860.0
1,971.0
1,1068.0
1,1099.0
1,945.0
1,891.0
1,950.0
4,988.5
1,881.0
1,854.0
1,1077.0
1,967.0
1,1043.0
1,945.0
3,900.0
3,991.6666666666666
1,1113.0
2,963.0
2,958.0
1,1072.0
1,977.0
1,902.0
1,1030.0
1,973.0
1,988.0
2,1004.0
1,875.0
1,1048.0
1,1023.0
1,932.0
2,965.5
1,985.0
1,1035.0
2,999.0
1,1056.0
1,1118.0
1,923.0
1,1052.0
1,1078.0
1,1125.0
1,975.0
1,1021.0
1,1048.0
1,936.0
2,1115.5
1,965.0
1,1101.0
1,835.0
1,984.0
1,1056.0
2,1017.0
1,1078.0
2,995.5
1,1073.0
1,1022.0
1,1158.0
1,1292.0
2,1017.0
1,967.0
1,961.0
1,962.0
1,914.0
1,1004.0
1,1000.0
1,1124.0
1,1107.0
1,1079.0
2,971.5
1,972.0
1,1027.0
1,996.0
1,958.0
1,968.0
1,848.0
1,1009.0
1,1166.0
1,931.0
1,1014.0
2,936.5
1,938.0
2,1224.0
2,930.0
1,1182.0
1,900.0
2,899.5
3,1004.0
1,892.0
1,986.0
1,1046.0
1,985.0
1,1014.0
1,1131.0
1,903.0
1,1258.0
1,1230.0
1,1014.0
1,2259.0
1,1428.0
1,1033.0
1,995.0
6,882.1666666666666
1,1091.0
